_id,REPORT_YEAR,DIVISION,CATEGORY,SUBTYPE,COUNT_,COUNT_CLEARED
143,2015,D33,Other Federal Statute Violations,Other,1,0
144,2020,D11,Crimes Against Property,Break & Enter-Apartment,3,0
145,2018,D13,Crimes Against Property,Break & Enter-House,15,0
146,2014,D55,Crimes Against Property,Break & Enter-Other,3,0
147,2019,D23,Crimes Against Property,Theft Over $5000,3,0
148,2021,D42,Crimes Against Property,Break & Enter-Commercial,18,0
149,2020,D41,Crimes Against the Person,Sexual Violation,1,0
150,2017,D22,Crimes Against the Person,Assault,1,0
151,2015,D51,Crimes Against Property,Break & Enter-Other,1,0
152,2023,D42,Crimes Against Property,Auto Theft,2,0
153,2019,D33,Crimes Against Property,Break & Enter-House,6,0
154,2019,D11,Crimes Against Property,Break & Enter-House,3,0
155,2021,D43,Crimes Against the Person,Robbery-Other,1,0
156,2018,D22,Crimes Against Property,Auto Theft,11,0
157,2016,D14,Crimes Against the Person,Attempt Murder,2,0
158,2020,D32,Crimes Against Property,Break & Enter-House,6,0
159,2014,D23,Crimes Against Property,Break & Enter-Apartment,2,0
160,2016,D22,Crimes Against Property,Theft Under $5000,1,0
161,2016,D43,Crimes Against Property,Break & Enter-Commercial,1,0
162,2015,D32,Crimes Against Property,Fraud,3,0
163,2020,D32,Crimes Against Property,Break & Enter-Other,1,0
164,2014,D42,Crimes Against Property,Theft Over $5000,6,0
165,2018,D33,Crimes Against Property,Break & Enter-Commercial,3,0
166,2023,D41,Crimes Against Property,Theft Under $5000,2,0
167,2016,D32,Crimes Against Property,Break & Enter-Other,1,0
168,2021,D41,Crimes Against Property,Auto Theft,30,0
169,2014,D13,Crimes Against Property,Break & Enter-Commercial,1,0
170,2022,D43,Crimes Against Property,Break & Enter-Commercial,1,0
171,2016,D32,Crimes Against Property,Break & Enter-House,9,0
172,2018,D23,Crimes Against Property,Theft Under $5000,8,0
173,2020,D53,Crimes Against Property,Theft Over $5000,10,0
174,2014,D31,Crimes Against Property,Break & Enter-Other,3,0
175,2023,D12,Crimes Against the Person,Assault,2,0
176,2022,D53,Crimes Against Property,Fraud,4,0
177,2021,D53,Crimes Against the Person,Sexual Violation,2,0
178,2017,NSA,Crimes Against Property,Auto Theft,33,0
179,2016,D53,Crimes Against Property,Theft Over $5000,1,0
180,2018,D53,Crimes Against Property,Break & Enter-Commercial,4,0
181,2019,D12,Crimes Against Property,Theft Over $5000,4,0
182,2014,D33,Crimes Against Property,Auto Theft,11,0
183,2022,D33,Crimes Against Property,Auto Theft,27,0
184,2019,D42,Crimes Against Property,Theft Over $5000,1,0
185,2016,D23,Crimes Against Property,Other,1,0
186,2016,D33,Crimes Against Property,Break & Enter-Apartment,7,0
187,2021,D32,Crimes Against Property,Theft Over $5000,1,0
188,2022,D33,Crimes Against Property,Break & Enter-House,6,0
189,2015,D22,Crimes Against Property,Break & Enter-House,1,0
190,2022,D41,Crimes Against Property,Break & Enter-House,1,0
191,2016,D23,Crimes Against Property,Fraud,1,0
192,2021,D52,Crimes Against Property,Fraud,8,0
193,2014,D55,Crimes Against Property,Break & Enter-Apartment,2,0
194,2017,D53,Crimes Against Property,Auto Theft,4,0
195,2016,D22,Crimes Against Property,Theft Over $5000,2,0
196,2022,D32,Crimes Against Property,Theft Under $5000,1,0
197,2014,D23,Crimes Against Property,Theft Over $5000,1,0
198,2017,D23,Crimes Against Property,Other,1,0
199,2016,D55,Crimes Against the Person,Assault,1,0
200,2021,D12,Crimes Against the Person,Other,1,0
201,2019,D55,Crimes Against Property,Other,1,0
202,2017,D11,Crimes Against Property,Theft Over $5000,1,0
203,2022,D42,Crimes Against Property,Break & Enter-Apartment,1,0
204,2014,D51,Crimes Against the Person,Sexual Violation,1,0
205,2015,D22,Crimes Against Property,Auto Theft,1,0
206,2020,D51,Crimes Against Property,Break & Enter-House,1,0
207,2017,D32,Crimes Against the Person,Other,1,0
208,2019,D31,Crimes Against Property,Break & Enter-Other,1,0
209,2015,D32,Crimes Against Property,Break & Enter-Apartment,12,0
210,2018,D33,Crimes Against Property,Theft Under $5000,3,0
211,2017,D51,Crimes Against the Person,Assault,1,0
212,2019,D55,Crimes Against the Person,Assault,2,0
213,2023,D23,Crimes Against the Person,Robbery-Other,2,0
214,2015,D33,Crimes Against Property,Theft Over $5000,2,0
215,2023,D13,Crimes Against the Person,Sexual Violation,9,0
216,2019,D32,Crimes Against Property,Break & Enter-Commercial,11,0
217,2023,D31,Crimes Against Property,Fraud,27,0
218,2016,D55,Crimes Against Property,Theft Over $5000,7,0
219,2018,D23,Crimes Against Property,Other,2,0
220,2022,D12,Crimes Against the Person,Robbery-Other,1,0
221,2017,D23,Crimes Against Property,Other,1,0
222,2021,D33,Crimes Against Property,Theft Over $5000,5,0
223,2021,D53,Crimes Against Property,Theft Over $5000,1,0
224,2022,D32,Crimes Against Property,Break & Enter-House,25,0
225,2020,D11,Crimes Against Property,Break & Enter-House,1,0
226,2020,D14,Crimes Against Property,Break & Enter-Apartment,4,0
227,2020,D53,Crimes Against Property,Break & Enter-Commercial,2,0
228,2019,D32,Crimes Against Property,Theft Over $5000,2,0
229,2021,D42,Crimes Against the Person,Sexual Violation,3,0
230,2023,D22,Crimes Against the Person,Robbery-Other,9,0
231,2020,D22,Crimes Against Property,Break & Enter-Other,1,0
232,2018,D22,Crimes Against Property,Break & Enter-Other,2,0
233,2022,D53,Crimes Against the Person,Robbery-Other,1,0
234,2015,D51,Crimes Against Property,Theft Over $5000,14,0
235,2015,D32,Crimes Against Property,Other,7,0
236,2017,D55,Crimes Against Property,Theft Over $5000,3,0
237,2017,D32,Crimes Against Property,Break & Enter-Commercial,3,0
238,2015,D22,Crimes Against Property,Break & Enter-Other,2,0
239,2018,D12,Crimes Against Property,Break & Enter-House,2,0
240,2015,D32,Crimes Against Property,Theft Over $5000,1,0
241,2016,D13,Crimes Against Property,Break & Enter-Apartment,4,0
242,2017,D53,Crimes Against the Person,Sexual Violation,1,0
243,2016,D53,Crimes Against the Person,Robbery-Financial,1,0
244,2014,D41,Crimes Against the Person,Sexual Violation,2,0
245,2018,D32,Crimes Against the Person,Attempt Murder,1,0
246,2021,D22,Crimes Against Property,Break & Enter-Apartment,3,0
247,2017,D55,Crimes Against the Person,Sexual Violation,1,0
248,2020,D33,Crimes Against the Person,Robbery-Other,6,0
249,2016,D52,Crimes Against Property,Theft Under $5000,1,0
250,2014,D55,Crimes Against Property,Break & Enter-Other,2,0
251,2017,D43,Crimes Against Property,Theft Over $5000,2,0
252,2020,D53,Crimes Against Property,Other,1,0
253,2017,D11,Crimes Against Property,Break & Enter-Other,2,0
254,2020,D32,Crimes Against Property,Break & Enter-Commercial,1,0
255,2023,D41,Crimes Against the Person,Sexual Violation,1,0
256,2014,D32,Crimes Against Property,Break & Enter-House,27,0
257,2023,D13,Crimes Against Property,Break & Enter-House,4,0
258,2018,D55,Crimes Against Property,Theft Under $5000,1,0
259,2022,D33,Crimes Against Property,Fraud,1,0
260,2015,D43,Crimes Against Property,Auto Theft,16,0
261,2017,D43,Controlled Drugs and Substances Act,Other,1,0
