_id,REPORT_YEAR,DIVISION,CATEGORY,SUBTYPE,COUNT_,COUNT_CLEARED
13551,2023,D13,Other Criminal Code Violations,Other,42,30
13552,2017,D42,Other Criminal Code Violations,Other,7,6
13553,2019,D13,Crimes Against the Person,Assault,34,18
13554,2023,D31,Crimes Against the Person,Attempt Murder,2,2
13555,2018,D22,Crimes Against the Person,Other,10,3
13556,2021,D22,Crimes Against Property,Break & Enter-House,1,1
13557,2016,D12,Other Federal Statute Violations,Other,10,10
13558,2022,D23,Crimes Against Property,Auto Theft,121,4
13559,2022,D23,Crimes Against the Person,Other,9,8
13560,2017,D22,Crimes Against Property,Other,53,18
13561,2016,D12,Crimes Against Property,Auto Theft,9,1
13562,2021,D32,Crimes Against Property,Break & Enter-Commercial,5,1
13563,2019,D14,Crimes Against Property,Break & Enter-House,11,1
13564,2016,D53,Crimes Against Property,Theft Over $5000,21,5
13565,2017,D42,Other Criminal Code Violations,Other,46,40
13566,2018,D13,Crimes Against Property,Theft Under $5000,5,2
13567,2016,D33,Crimes Against Property,Other,42,16
13568,2018,D43,Crimes Against the Person,Attempt Murder,1,1
13569,2017,D14,Crimes Against Property,Break & Enter-House,1,1
13570,2022,D13,Crimes Against Property,Fraud,33,4
13571,2023,D23,Controlled Drugs and Substances Act,Other,3,3
13572,2023,D23,Other Criminal Code Violations,Other,4,3
13573,2019,D14,Crimes Against Property,Auto Theft,29,5
13574,2023,D33,Crimes Against Property,Theft Under $5000,101,6
13575,2018,D13,Crimes Against Property,Break & Enter-Apartment,4,2
13576,2021,D55,Crimes Against Property,Other,2,1
13577,2016,D22,Crimes Against Property,Break & Enter-Commercial,11,2
13578,2017,NSA,Crimes Against Property,Theft Over $5000,15,4
13579,2020,D53,Other Criminal Code Violations,Other,77,66
13580,2020,D51,Crimes Against the Person,Other,1,1
13581,2014,D42,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,5,5
13582,2017,NSA,Crimes Against the Person,Sexual Violation,2,1
13583,2018,D12,Crimes Against the Person,Sexual Violation,9,3
13584,2019,D41,Crimes Against Property,Break & Enter-Other,3,1
13585,2017,D42,Other Criminal Code Violations,Other,47,43
13586,2019,D11,Crimes Against Property,Other,87,25
13587,2021,D22,Other Criminal Code Violations,Other,47,37
13588,2021,D52,Crimes Against the Person,Other,18,5
13589,2023,D11,Crimes Against Property,Break & Enter-Other,3,1
13590,2015,D53,Crimes Against the Person,Sexual Violation,6,4
13591,2020,D31,Crimes Against Property,Break & Enter-Apartment,15,8
13592,2021,D23,Crimes Against Property,Fraud,25,1
13593,2021,D43,Crimes Against the Person,Sexual Violation,4,3
13594,2014,D31,Crimes Against the Person,Assault,190,149
13595,2021,D43,Crimes Against the Person,Robbery-Other,21,17
13596,2014,D31,Crimes Against the Person,Robbery-Other,28,12
13597,2021,D23,Other Federal Statute Violations,Other,1,1
13598,2020,D55,Crimes Against Property,Fraud,44,2
13599,2023,D14,Crimes Against Property,Break & Enter-Other,7,2
13600,2019,D55,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1,1
13601,2016,D32,Crimes Against the Person,Sexual Violation,12,7
13602,2022,D53,Criminal Code Traffic,Other,8,5
13603,2021,D22,Crimes Against Property,Break & Enter-Commercial,23,6
13604,2015,D43,Crimes Against the Person,Other,30,20
13605,2018,D12,Crimes Against Property,Theft Over $5000,3,1
13606,2021,D22,Other Criminal Code Violations,Other,21,17
13607,2023,D14,Crimes Against Property,Break & Enter-Commercial,18,2
13608,2020,D55,Crimes Against Property,Break & Enter-House,11,2
13609,2017,D13,Other Criminal Code Violations,Other,23,22
13610,2016,D33,Crimes Against Property,Auto Theft,22,2
13611,2019,D42,Crimes Against Property,Break & Enter-Commercial,65,28
13612,2023,D51,Crimes Against Property,Theft Under $5000,21,1
13613,2017,D53,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,4,4
13614,2015,D22,Crimes Against Property,Auto Theft,18,6
13615,2017,D41,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,7,7
13616,2015,D51,Crimes Against Property,Fraud,50,9
13617,2018,D31,Crimes Against the Person,Assault,78,43
13618,2021,D43,Criminal Code Traffic,Other,3,3
13619,2016,D22,Crimes Against the Person,Assault,1,1
13620,2018,D13,Crimes Against the Person,Assault,122,76
13621,2017,D14,Crimes Against Property,Break & Enter-Other,5,2
13622,2015,D22,Crimes Against Property,Theft Under $5000,106,19
13623,2017,D52,Crimes Against Property,Other,16,10
13624,2017,D23,Crimes Against the Person,Other,83,57
13625,2023,D12,Crimes Against the Person,Robbery-Other,24,3
13626,2023,NSA,Criminal Code Traffic,Other,1,1
13627,2020,D32,Crimes Against the Person,Robbery-Other,9,6
13628,2017,D12,Crimes Against Property,Auto Theft,47,22
13629,2019,D12,Crimes Against the Person,Attempt Murder,7,7
13630,2023,D53,Crimes Against Property,Theft Over $5000,7,1
13631,2023,D33,Crimes Against the Person,Other,15,11
13632,2023,D55,Crimes Against the Person,Robbery-Other,3,1
13633,2020,D51,Crimes Against Property,Auto Theft,42,13
13634,2019,D42,Crimes Against Property,Break & Enter-Commercial,2,2
13635,2023,D33,Crimes Against Property,Break & Enter-House,17,2
13636,2018,D13,Crimes Against the Person,Robbery-Other,5,4
13637,2017,NSA,Other Criminal Code Violations,Other,1,1
13638,2018,D41,Criminal Code Traffic,Other,2,2
13639,2020,D12,Other Criminal Code Violations,Other,7,7
13640,2015,D22,Controlled Drugs and Substances Act,Other,2,2
13641,2019,D14,Crimes Against the Person,Sexual Violation,16,10
13642,2016,D13,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,7,7
13643,2023,D53,Crimes Against Property,Fraud,91,5
13644,2014,D11,Other Federal Statute Violations,Other,1,1
13645,2019,D11,Crimes Against Property,Fraud,5,1
13646,2020,D43,Crimes Against Property,Auto Theft,11,5
13647,2023,D23,Crimes Against Property,Theft Under $5000,107,7
13648,2016,D52,Crimes Against Property,Break & Enter-Apartment,1,1
13649,2021,D51,Crimes Against Property,Theft Over $5000,25,7
13650,2020,D55,Crimes Against Property,Theft Over $5000,5,1
13651,2017,D53,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,5,5
13652,2014,D43,Crimes Against the Person,Sexual Violation,42,31
13653,2023,D31,Crimes Against Property,Break & Enter-House,7,6
13654,2015,D32,Criminal Code Traffic,Other,15,15
13655,2014,D43,Crimes Against the Person,Sexual Violation,11,8
13656,2014,D33,Crimes Against Property,Theft Under $5000,295,131
13657,2023,D55,Crimes Against the Person,Robbery-Other,7,2
13658,2020,D32,Crimes Against the Person,Assault,34,18
13659,2020,D52,Other Federal Statute Violations,Other,1,1
13660,2019,D55,Crimes Against Property,Theft Over $5000,9,4
13661,2019,D53,Crimes Against Property,Auto Theft,34,3
13662,2017,D31,Crimes Against Property,Other,51,16
13663,2018,D33,Crimes Against the Person,Assault,35,17
13664,2014,D13,Crimes Against the Person,Assault,12,9
13665,2020,D51,Crimes Against Property,Theft Over $5000,16,5
13666,2015,D43,Crimes Against Property,Other,63,33
13667,2019,D32,Crimes Against the Person,Assault,88,50
13668,2018,D12,Crimes Against the Person,Assault,110,80
13669,2014,D32,Crimes Against Property,Other,39,11
13670,2017,D53,Crimes Against Property,Break & Enter-Apartment,12,2
13671,2014,D43,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,3,2
13672,2017,D32,Crimes Against Property,Fraud,48,2
13673,2017,D55,Crimes Against Property,Theft Under $5000,126,29
13674,2023,D42,Crimes Against Property,Break & Enter-Commercial,7,1
13675,2014,D14,Crimes Against Property,Auto Theft,10,3
13676,2018,D52,Other Federal Statute Violations,Other,2,1
13677,2018,D32,Controlled Drugs and Substances Act,Other,4,3
13678,2018,D43,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,8,8
13679,2014,D14,Crimes Against the Person,Sexual Violation,24,15
13680,2015,D43,Crimes Against the Person,Robbery-Other,3,1
13681,2019,D31,Crimes Against Property,Break & Enter-Other,14,2
13682,2015,D53,Crimes Against Property,Break & Enter-Apartment,3,1
13683,2023,D11,Crimes Against the Person,Sexual Violation,15,9
13684,2022,D41,Other Criminal Code Violations,Other,80,71
13685,2020,D33,Controlled Drugs and Substances Act,Other,4,3
13686,2015,D13,Crimes Against the Person,Sexual Violation,2,2
13687,2022,D55,Crimes Against Property,Theft Over $5000,3,1
13688,2023,D31,Crimes Against Property,Theft Over $5000,42,4
13689,2015,D53,Crimes Against the Person,Sexual Violation,19,11
13690,2023,D32,Crimes Against Property,Fraud,96,3
13691,2015,D42,Other Criminal Code Violations,Other,72,63
13692,2023,D41,Crimes Against Property,Theft Under $5000,590,79
13693,2021,D12,Crimes Against Property,Break & Enter-Commercial,16,6
13694,2021,D43,Crimes Against Property,Other,53,13
13695,2015,D14,Crimes Against the Person,Sexual Violation,24,12
13696,2018,D55,Crimes Against Property,Fraud,30,5
13697,2017,D12,Crimes Against the Person,Robbery-Other,29,16
13698,2023,D31,Controlled Drugs and Substances Act,Other,9,8
13699,2019,D43,Other Criminal Code Violations,Other,134,121
13700,2014,D14,Crimes Against Property,Break & Enter-House,5,4
13701,2018,D53,Crimes Against the Person,Robbery-Other,5,3
13702,2015,D51,Controlled Drugs and Substances Act,Other,48,47
13703,2023,D33,Crimes Against Property,Fraud,104,4
13704,2014,D11,Crimes Against Property,Auto Theft,16,7
13705,2019,D33,Crimes Against Property,Theft Under $5000,86,17
13706,2022,D52,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,10,6
13707,2021,D14,Crimes Against the Person,Attempt Murder,1,1
13708,2020,D42,Crimes Against Property,Theft Under $5000,41,2
13709,2019,D32,Crimes Against the Person,Robbery-Other,13,2
13710,2016,D55,Crimes Against Property,Theft Under $5000,275,60
13711,2023,D22,Other Federal Statute Violations,Other,2,2
13712,2015,D53,Other Criminal Code Violations,Other,5,4
13713,2018,D55,Crimes Against the Person,Other,11,5
13714,2020,D22,Crimes Against Property,Other,83,15
13715,2014,D43,Crimes Against the Person,Sexual Violation,19,13
13716,2022,D53,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2,2
13717,2016,D41,Other Federal Statute Violations,Other,1,1
13718,2020,D53,Crimes Against the Person,Sexual Violation,9,2
13719,2018,D43,Crimes Against Property,Break & Enter-Commercial,21,4
13720,2015,D33,Other Criminal Code Violations,Other,38,36
13721,2019,D43,Criminal Code Traffic,Other,8,8
13722,2023,D12,Controlled Drugs and Substances Act,Other,1,1
13723,2015,D42,Crimes Against Property,Break & Enter-Apartment,9,2
13724,2023,D32,Crimes Against Property,Break & Enter-Apartment,4,1
13725,2015,D41,Crimes Against the Person,Assault,218,157
13726,2019,D52,Controlled Drugs and Substances Act,Other,9,8
13727,2016,D33,Crimes Against Property,Other,4,1
13728,2016,D53,Crimes Against Property,Break & Enter-Apartment,4,1
13729,2019,D14,Crimes Against the Person,Attempt Murder,2,2
13730,2016,D42,Crimes Against Property,Theft Under $5000,259,113
13731,2023,D42,Crimes Against Property,Break & Enter-House,34,1
13732,2020,D31,Criminal Code Traffic,Other,10,10
13733,2015,D55,Crimes Against Property,Break & Enter-House,21,2
13734,2018,D51,Crimes Against the Person,Robbery-Other,29,10
13735,2017,D14,Crimes Against Property,Fraud,79,28
13736,2014,D33,Crimes Against the Person,Robbery-Other,41,14
13737,2021,D52,Controlled Drugs and Substances Act,Other,9,7
13738,2015,D13,Crimes Against Property,Break & Enter-House,20,1
13739,2018,D52,Other Federal Statute Violations,Other,2,2
13740,2019,D53,Criminal Code Traffic,Other,2,2
13741,2016,D55,Crimes Against the Person,Attempt Murder,2,2
13742,2020,D55,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,6,6
13743,2016,D41,Crimes Against the Person,Assault,164,110
13744,2022,D32,Crimes Against Property,Auto Theft,125,1
13745,2014,D11,Other Criminal Code Violations,Other,18,17
13746,2017,D53,Crimes Against the Person,Sexual Violation,23,12
13747,2014,D14,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2,1
13748,2019,D51,Crimes Against the Person,Assault,481,271
13749,2017,D53,Crimes Against the Person,Other,16,9
13750,2014,D33,Crimes Against the Person,Robbery-Financial,3,2
13751,2019,D32,Crimes Against the Person,Sexual Violation,14,8
13752,2016,D13,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1,1
13753,2022,D33,Crimes Against Property,Theft Over $5000,11,1
13754,2022,D32,Crimes Against the Person,Robbery-Other,10,3
13755,2017,D22,Crimes Against Property,Auto Theft,19,2
13756,2021,D22,Crimes Against the Person,Sexual Violation,6,3
13757,2017,D11,Controlled Drugs and Substances Act,Other,12,12
13758,2015,D13,Crimes Against the Person,Assault,75,56
13759,2017,D13,Crimes Against Property,Theft Under $5000,190,48
13760,2020,D55,Crimes Against the Person,Other,23,13
13761,2017,D51,Crimes Against Property,Break & Enter-Apartment,27,3
13762,2021,D52,Crimes Against the Person,Robbery-Other,9,6
13763,2023,D22,Crimes Against Property,Theft Over $5000,1,1
13764,2018,D43,Controlled Drugs and Substances Act,Other,5,5
13765,2015,D12,Crimes Against Property,Other,66,27
13766,2022,D55,Crimes Against the Person,Other,10,3
13767,2016,D12,Other Criminal Code Violations,Other,80,76
13768,2018,D55,Crimes Against Property,Break & Enter-Commercial,4,1
13769,2015,D33,Crimes Against Property,Theft Under $5000,96,38
13770,2018,D23,Other Criminal Code Violations,Other,18,16
13771,2014,D52,Crimes Against Property,Break & Enter-Commercial,48,23
13772,2014,D12,Other Criminal Code Violations,Other,8,8
13773,2014,D33,Crimes Against Property,Break & Enter-Apartment,42,7
13774,2021,D23,Other Criminal Code Violations,Other,24,21
13775,2021,D51,Crimes Against Property,Break & Enter-Apartment,73,33
13776,2016,D12,Crimes Against the Person,Assault,23,15
13777,2014,D11,Other Federal Statute Violations,Other,3,3
13778,2020,D55,Criminal Code Traffic,Other,5,5
13779,2023,D55,Crimes Against Property,Break & Enter-Apartment,13,2
13780,2022,D53,Other Criminal Code Violations,Other,2,1
13781,2017,D32,Crimes Against Property,Theft Under $5000,42,4
13782,2023,D31,Crimes Against Property,Theft Under $5000,272,22
13783,2014,D52,Crimes Against the Person,Attempt Murder,1,1
13784,2017,D33,Crimes Against the Person,Robbery-Financial,1,1
13785,2014,D53,Crimes Against the Person,Robbery-Other,1,1
13786,2023,D11,Crimes Against Property,Other,4,1
13787,2015,D32,Controlled Drugs and Substances Act,Other,1,1
13788,2023,D42,Crimes Against Property,Other,105,26
13789,2023,D55,Crimes Against Property,Break & Enter-Other,4,3
13790,2018,D13,Crimes Against Property,Theft Under $5000,68,3
13791,2015,D55,Controlled Drugs and Substances Act,Other,21,20
13792,2019,D23,Criminal Code Traffic,Other,1,1
13793,2022,D14,Other Criminal Code Violations,Other,95,86
13794,2014,D11,Other Federal Statute Violations,Other,1,1
13795,2014,D23,Other Federal Statute Violations,Other,12,11
13796,2014,D11,Crimes Against Property,Theft Over $5000,6,3
13797,2023,D22,Crimes Against Property,Break & Enter-Other,3,2
13798,2017,D32,Other Criminal Code Violations,Other,18,13
13799,2021,D22,Crimes Against Property,Theft Over $5000,32,4
13800,2020,D55,Crimes Against Property,Fraud,75,7
13801,2022,D14,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,4,3
13802,2021,D55,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,8,8
13803,2016,D14,Crimes Against Property,Break & Enter-Apartment,38,8
13804,2018,D31,Crimes Against Property,Break & Enter-House,15,3
13805,2015,D32,Crimes Against the Person,Other,22,7
13806,2020,D43,Crimes Against Property,Break & Enter-House,5,3
13807,2020,D41,Crimes Against Property,Auto Theft,21,10
13808,2018,D32,Crimes Against Property,Break & Enter-Apartment,3,1
13809,2018,D53,Crimes Against the Person,Other,4,2
13810,2019,D41,Crimes Against the Person,Sexual Violation,32,15
13811,2020,D53,Crimes Against Property,Break & Enter-Apartment,12,3
13812,2020,D14,Crimes Against the Person,Assault,217,155
13813,2023,D33,Crimes Against Property,Theft Under $5000,542,96
13814,2019,D32,Crimes Against Property,Theft Under $5000,481,151
13815,2019,D32,Crimes Against the Person,Sexual Violation,3,1
13816,2021,D55,Crimes Against Property,Theft Under $5000,194,10
13817,2014,D12,Crimes Against Property,Fraud,15,2
13818,2023,D51,Criminal Code Traffic,Other,8,8
13819,2017,D43,Crimes Against the Person,Robbery-Other,9,7
13820,2023,D32,Crimes Against the Person,Other,3,2
13821,2023,D43,Crimes Against Property,Break & Enter-House,8,1
13822,2023,D13,Crimes Against Property,Fraud,25,2
13823,2017,D31,Controlled Drugs and Substances Act,Other,40,37
13824,2021,D42,Crimes Against Property,Break & Enter-House,4,1
13825,2020,D33,Crimes Against Property,Break & Enter-Apartment,9,1
13826,2015,D52,Crimes Against the Person,Assault,85,62
13827,2022,D51,Crimes Against the Person,Assault,337,198
13828,2018,D41,Crimes Against Property,Break & Enter-Apartment,8,3
13829,2016,D13,Crimes Against the Person,Sexual Violation,5,3
13830,2020,D22,Controlled Drugs and Substances Act,Other,3,3
13831,2014,D55,Crimes Against Property,Break & Enter-Commercial,5,4
13832,2018,D52,Crimes Against the Person,Robbery-Other,9,7
13833,2019,D52,Crimes Against Property,Break & Enter-Apartment,33,4
13834,2015,D53,Crimes Against Property,Other,34,8
13835,2016,D33,Crimes Against the Person,Sexual Violation,7,1
13836,2018,D13,Crimes Against Property,Break & Enter-House,22,6
13837,2014,D33,Crimes Against the Person,Robbery-Other,7,1
13838,2020,D33,Controlled Drugs and Substances Act,Other,8,5
13839,2020,D14,Other Federal Statute Violations,Other,2,2
13840,2017,D55,Crimes Against the Person,Other,30,15
13841,2014,D14,Crimes Against Property,Fraud,24,7
13842,2019,D51,Crimes Against Property,Break & Enter-Apartment,39,11
13843,2014,D52,Crimes Against Property,Fraud,10,3
13844,2019,D11,Controlled Drugs and Substances Act,Other,4,4
13845,2015,D32,Crimes Against Property,Theft Under $5000,114,19
13846,2021,D53,Crimes Against Property,Fraud,39,6
13847,2018,D13,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,5,2
13848,2016,D31,Crimes Against Property,Break & Enter-Apartment,1,1
13849,2015,D14,Other Federal Statute Violations,Other,2,2
13850,2021,D43,Crimes Against Property,Fraud,23,5
13851,2014,D43,Other Criminal Code Violations,Other,12,11
13852,2017,D41,Crimes Against Property,Auto Theft,3,1
13853,2019,D33,Crimes Against the Person,Sexual Violation,20,9
13854,2022,D42,Crimes Against Property,Break & Enter-House,10,1
13855,2016,D23,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,3,3
13856,2017,D52,Other Criminal Code Violations,Other,1235,1194
13857,2017,D13,Crimes Against Property,Theft Over $5000,6,3
13858,2018,D11,Other Federal Statute Violations,Other,2,2
13859,2020,D13,Criminal Code Traffic,Other,7,6
13860,2017,D55,Crimes Against Property,Theft Under $5000,209,122
13861,2014,D43,Crimes Against Property,Break & Enter-House,5,3
13862,2019,D32,Crimes Against the Person,Other,5,3
13863,2018,D42,Crimes Against Property,Auto Theft,24,1
13864,2014,NSA,Crimes Against the Person,Sexual Violation,1,1
13865,2018,D52,Crimes Against Property,Theft Over $5000,44,18
13866,2014,D53,Crimes Against Property,Break & Enter-Apartment,2,1
13867,2019,D53,Crimes Against the Person,Robbery-Other,1,1
13868,2019,D11,Crimes Against Property,Break & Enter-Apartment,18,4
13869,2019,D55,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,4,2
13870,2017,D23,Criminal Code Traffic,Other,5,4
13871,2014,D55,Crimes Against Property,Auto Theft,14,4
13872,2022,D23,Crimes Against Property,Auto Theft,56,4
13873,2014,D52,Crimes Against the Person,Assault,95,66
13874,2015,D32,Crimes Against Property,Break & Enter-Apartment,11,1
13875,2014,D53,Other Criminal Code Violations,Other,105,100
13876,2018,D55,Other Criminal Code Violations,Other,25,23
13877,2017,D22,Crimes Against the Person,Robbery-Financial,1,1
13878,2022,D12,Criminal Code Traffic,Other,19,18
13879,2015,D42,Crimes Against the Person,Other,14,6
13880,2019,D53,Crimes Against the Person,Assault,24,16
13881,2016,D41,Crimes Against Property,Break & Enter-Commercial,17,5
13882,2016,D41,Controlled Drugs and Substances Act,Other,16,16
13883,2017,D32,Other Criminal Code Violations,Other,9,6
13884,2022,D13,Crimes Against Property,Break & Enter-Commercial,3,1
13885,2022,D22,Crimes Against Property,Auto Theft,96,6
13886,2022,D14,Crimes Against the Person,Robbery-Other,16,6
13887,2016,D52,Crimes Against the Person,Assault,84,51
13888,2015,D32,Crimes Against the Person,Robbery-Other,12,3
13889,2019,D13,Criminal Code Traffic,Other,2,2
13890,2014,D12,Crimes Against Property,Break & Enter-House,4,1
13891,2014,D33,Crimes Against Property,Other,2,1
13892,2021,D13,Crimes Against Property,Other,81,25
13893,2014,D53,Crimes Against Property,Break & Enter-Apartment,14,6
13894,2015,D32,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,5,4
13895,2016,D43,Crimes Against Property,Other,67,21
13896,2023,D13,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,4,4
13897,2023,D33,Other Criminal Code Violations,Other,64,51
13898,2021,D55,Crimes Against the Person,Other,15,6
13899,2015,D41,Crimes Against Property,Theft Over $5000,4,1
13900,2015,D55,Crimes Against Property,Break & Enter-Commercial,19,8
13901,2021,D32,Crimes Against the Person,Robbery-Other,6,5
13902,2018,D31,Other Federal Statute Violations,Other,7,6
13903,2019,D55,Controlled Drugs and Substances Act,Other,7,7
13904,2020,D12,Crimes Against the Person,Other,14,7
13905,2015,D22,Crimes Against Property,Other,50,23
13906,2014,D55,Crimes Against the Person,Other,20,15
13907,2015,D33,Other Federal Statute Violations,Other,1,1
13908,2022,D53,Crimes Against Property,Other,45,9
13909,2020,D31,Crimes Against the Person,Other,48,26
13910,2023,D55,Criminal Code Traffic,Other,6,5
13911,2023,D51,Crimes Against the Person,Other,88,53
13912,2019,D43,Criminal Code Traffic,Other,2,2
13913,2016,D53,Crimes Against Property,Auto Theft,7,3
13914,2015,D22,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,5,5
13915,2022,D33,Crimes Against Property,Fraud,122,6
13916,2022,D32,Crimes Against Property,Fraud,52,1
13917,2018,D31,Crimes Against the Person,Attempt Murder,8,8
13918,2014,D41,Crimes Against the Person,Assault,160,108
13919,2023,D23,Crimes Against Property,Break & Enter-Commercial,10,6
13920,2017,D43,Crimes Against the Person,Attempt Murder,1,1
13921,2020,D12,Crimes Against Property,Theft Under $5000,55,2
13922,2021,D51,Crimes Against Property,Theft Under $5000,150,43
13923,2016,D32,Crimes Against the Person,Sexual Violation,10,4
13924,2014,D55,Crimes Against Property,Break & Enter-Commercial,11,4
13925,2016,D31,Crimes Against Property,Theft Over $5000,18,4
13926,2019,D11,Crimes Against Property,Theft Under $5000,67,51
13927,2021,D51,Other Criminal Code Violations,Other,128,110
13928,2014,NSA,Other Federal Statute Violations,Other,18,18
13929,2018,D43,Crimes Against the Person,Other,46,19
13930,2014,D13,Crimes Against the Person,Other,14,6
13931,2018,D42,Crimes Against Property,Break & Enter-House,39,2
13932,2018,D23,Crimes Against Property,Other,45,16
13933,2016,D41,Crimes Against the Person,Robbery-Other,27,11
13934,2022,D14,Crimes Against the Person,Other,15,8
13935,2023,D32,Controlled Drugs and Substances Act,Other,4,4
13936,2019,D42,Crimes Against the Person,Robbery-Other,18,9
13937,2018,D13,Crimes Against Property,Theft Over $5000,2,1
13938,2023,D32,Crimes Against Property,Break & Enter-House,6,1
13939,2017,D51,Crimes Against Property,Other,142,49
13940,2023,D43,Crimes Against the Person,Robbery-Other,7,4
13941,2014,D32,Crimes Against Property,Theft Over $5000,4,1
13942,2020,D53,Crimes Against Property,Break & Enter-Apartment,58,11
13943,2016,D31,Crimes Against Property,Theft Under $5000,40,1
13944,2015,D32,Criminal Code Traffic,Other,1,1
13945,2015,D53,Crimes Against the Person,Assault,3,2
13946,2022,D23,Crimes Against Property,Fraud,43,10
13947,2015,D13,Crimes Against Property,Fraud,24,14
13948,2018,D11,Crimes Against the Person,Other,23,13
13949,2016,D55,Crimes Against Property,Theft Under $5000,392,144
13950,2022,D31,Crimes Against the Person,Assault,34,14
13951,2016,D14,Crimes Against the Person,Other,25,20
13952,2017,D12,Other Criminal Code Violations,Other,23,22
13953,2015,D12,Crimes Against the Person,Sexual Violation,4,2
13954,2015,D55,Crimes Against the Person,Sexual Violation,24,15
13955,2020,D42,Crimes Against Property,Fraud,70,5
13956,2020,D22,Other Criminal Code Violations,Other,230,213
13957,2019,D12,Crimes Against Property,Theft Over $5000,9,2
13958,2021,D32,Crimes Against the Person,Robbery-Other,9,4
13959,2022,D53,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,23,19
13960,2018,D51,Crimes Against the Person,Other,30,12
13961,2018,D13,Other Federal Statute Violations,Other,2,1
13962,2023,D55,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,4,3
13963,2015,D32,Criminal Code Traffic,Other,4,4
13964,2015,D12,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,13,13
13965,2020,D13,Crimes Against the Person,Sexual Violation,5,2
13966,2023,D55,Crimes Against the Person,Sexual Violation,11,8
13967,2020,D55,Other Federal Statute Violations,Other,1,1
13968,2016,D23,Other Criminal Code Violations,Other,19,18
13969,2017,D42,Other Federal Statute Violations,Other,3,3
13970,2016,D14,Crimes Against the Person,Other,16,10
13971,2015,D14,Crimes Against the Person,Assault,28,21
13972,2017,D33,Crimes Against Property,Theft Under $5000,91,25
13973,2021,D14,Crimes Against the Person,Assault,2,1
13974,2022,D43,Crimes Against Property,Other,128,25
13975,2016,D31,Crimes Against Property,Break & Enter-Apartment,17,6
13976,2016,D53,Crimes Against Property,Break & Enter-Other,5,5
13977,2014,D55,Other Criminal Code Violations,Other,122,110
13978,2015,D43,Crimes Against Property,Auto Theft,13,1
13979,2016,D41,Crimes Against the Person,Other,16,10
13980,2017,D14,Criminal Code Traffic,Other,18,14
13981,2023,D32,Crimes Against the Person,Assault,41,26
13982,2017,D13,Crimes Against Property,Break & Enter-Apartment,26,5
13983,2015,D43,Crimes Against Property,Theft Under $5000,632,448
13984,2017,D33,Criminal Code Traffic,Other,4,4
13985,2015,D33,Other Federal Statute Violations,Other,1,1
13986,2019,D41,Crimes Against Property,Auto Theft,10,1
13987,2021,D22,Crimes Against Property,Theft Under $5000,193,30
13988,2014,D23,Other Criminal Code Violations,Other,17,17
13989,2020,D14,Crimes Against the Person,Other,16,5
13990,2021,D43,Crimes Against the Person,Robbery-Other,7,3
13991,2022,D55,Crimes Against Property,Break & Enter-Other,3,1
13992,2023,D53,Crimes Against Property,Other,16,3
13993,2017,D32,Crimes Against Property,Break & Enter-Other,2,2
13994,2017,D43,Controlled Drugs and Substances Act,Other,4,4
13995,2016,D22,Crimes Against Property,Break & Enter-Commercial,3,1
13996,2019,D43,Crimes Against the Person,Robbery-Other,1,1
13997,2015,D12,Other Criminal Code Violations,Other,73,66
13998,2022,D32,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1,1
13999,2022,D51,Crimes Against the Person,Other,31,11
14000,2023,D11,Crimes Against the Person,Other,41,21
14001,2017,D41,Crimes Against Property,Fraud,15,5
14002,2022,D23,Crimes Against the Person,Assault,1,1
14003,2014,D51,Crimes Against Property,Break & Enter-House,25,5
14004,2019,D12,Crimes Against Property,Other,33,10
14005,2022,D14,Crimes Against the Person,Assault,27,17
14006,2014,D13,Crimes Against Property,Fraud,15,9
14007,2023,D33,Crimes Against the Person,Robbery-Other,1,1
14008,2018,D42,Crimes Against Property,Break & Enter-House,17,1
14009,2019,D43,Crimes Against Property,Break & Enter-Apartment,2,1
14010,2015,D55,Crimes Against Property,Fraud,91,22
14011,2014,D23,Controlled Drugs and Substances Act,Other,1,1
